jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
57502.553243	-0.32627	0.00064	7.02877	53.404	-0.02735	0.00043	0.148720	0.000635	-5.0817	0.0045	40.10	76.00	168.50	159.70
57502.557016	-0.32715	0.00062	7.03020	53.394	-0.02811	0.00040	0.148860	0.000571	-5.0807	0.0040	43.40	82.50	180.50	168.30
57573.409329	-0.32670	0.00047	7.03210	53.375	-0.02728	0.00031	0.149209	0.000394	-5.0782	0.0027	59.70	103.60	238.70	235.80
57573.413067	-0.32633	0.00046	7.03155	53.379	-0.02659	0.00029	0.148968	0.000361	-5.0799	0.0025	64.00	111.70	251.50	243.00
57573.416852	-0.32681	0.00044	7.03173	53.374	-0.02813	0.00027	0.149516	0.000321	-5.0761	0.0022	70.70	124.70	269.90	248.30
57573.480679	-0.32746	0.00048	7.03355	53.385	-0.02827	0.00033	0.149331	0.000431	-5.0774	0.0030	55.50	97.80	227.30	220.60
57573.484660	-0.32889	0.00046	7.03351	53.380	-0.02760	0.00030	0.148973	0.000383	-5.0799	0.0027	61.00	107.50	245.30	234.60
57573.488225	-0.32786	0.00047	7.03211	53.382	-0.02761	0.00032	0.150316	0.000406	-5.0706	0.0028	58.50	102.10	236.70	231.30
57574.395196	-0.32697	0.00052	7.03223	53.395	-0.02829	0.00039	0.148108	0.000541	-5.0860	0.0038	46.10	85.60	184.00	167.40
57574.398946	-0.32601	0.00050	7.03262	53.374	-0.02687	0.00036	0.147850	0.000486	-5.0878	0.0035	50.10	93.10	197.10	176.30
57574.402742	-0.32731	0.00050	7.03206	53.376	-0.02896	0.00037	0.148407	0.000495	-5.0839	0.0035	49.40	92.10	194.30	173.20
57574.471465	-0.32815	0.00051	7.03274	53.396	-0.02783	0.00038	0.148763	0.000525	-5.0814	0.0037	47.50	84.70	196.90	193.10
57574.475226	-0.32863	0.00049	7.03322	53.386	-0.02764	0.00035	0.149234	0.000474	-5.0781	0.0033	51.50	90.60	212.60	209.90
57574.478930	-0.32630	0.00051	7.03495	53.389	-0.02917	0.00038	0.149880	0.000526	-5.0736	0.0036	47.70	81.60	201.20	213.20
57576.383353	-0.32721	0.00043	7.03436	53.361	-0.02763	0.00025	0.149442	0.000300	-5.0766	0.0021	75.00	130.90	287.50	271.20
57576.387137	-0.32820	0.00045	7.03385	53.367	-0.02801	0.00028	0.149091	0.000336	-5.0791	0.0023	67.90	119.60	262.70	247.00
57576.390991	-0.32732	0.00045	7.03494	53.359	-0.02760	0.00028	0.149513	0.000334	-5.0761	0.0023	68.40	120.70	266.10	251.20
